year,month,overall-rating,work-balance,career-opportunity,comp-benefit,Event
2008,2,5,4.75,5,4.5,"Microsoft launches Windows Server 2008, SQL Server 2008 and Visual Studio 2008"
2009,10,3.22,3.74,3.15,4,"Microsoft launches Windows 7; opens first physical store in Scottsdale, Arizona"
2010,6,3.69,3.95,3.48,4.11,Microsoft launches general availability of Office 2010
2011,6,3.21,3.67,3.22,3.5,Microsoft launches Office 365
2012,10,3.68,3.45,3.8,4.05,Microsoft launches Windows 8 and Microsoft Surface
2013,10,3.61,3.24,3.66,4.05,Microsoft launches Surface 2 and Surface Pro 2
2014,6,3.87,3.44,3.65,3.99,Microsoft launches Surface Pro 3
2015,7,3.74,3.52,3.58,4.03,Microsoft launches Windows 10
2016,6,3.91,3.57,3.63,3.98,Microsoft launches SQL Server 2016
2017,11,4.03,3.81,3.82,4.05,Microsoft launches Xbox One X
2018,8,4.08,3.85,3.83,3.97,Surface Go becomes available